WKT,name,description
"LINESTRING (-71.0923598 42.3584033, -71.0926843 42.3583112, -71.0923785 42.3578077, -71.0918238 42.3579921)",1,
"LINESTRING (-71.0921303 42.3584731, -71.0924174 42.358923, -71.0926801 42.3593229, -71.0923342 42.3594621)",3,
"LINESTRING (-71.0933295 42.3594748, -71.0931682 42.3591961)",7,
"LINESTRING (-71.0930512 42.3589183, -71.0928044 42.358512)",5,
"LINESTRING (-71.0904377 42.3584429, -71.0898959 42.3586213, -71.0902071 42.3591128, -71.0904903 42.3590328)",2,
"LINESTRING (-71.0902688 42.3592991, -71.0904298 42.3595547, -71.0906068 42.3598481)",6,
"LINESTRING (-71.0916422 42.3596841, -71.0912424 42.3598105, -71.0909877 42.3593868, -71.0907545 42.3589555)",4,
"LINESTRING (-71.0909537 42.359935, -71.0907167 42.3600166)",8,
"LINESTRING (-71.0920794 42.3597931, -71.0919451 42.3595488)",10,
"LINESTRING (-71.0918238 42.3579921, -71.0921303 42.3584731)",1-3,
"LINESTRING (-71.0907545 42.3589555, -71.0904903 42.3590328)",2-4,
"LINESTRING (-71.0904377 42.3584429, -71.0907545 42.3589555)",2-4,
"LINESTRING (-71.0907167 42.3600166, -71.0906068 42.3598481)",6-8,
"LINESTRING (-71.0912424 42.3598105, -71.0909537 42.359935)",4-8,
"LINESTRING (-71.0919451 42.3595488, -71.0916422 42.3596841)",4-10,
"LINESTRING (-71.0928035 42.359537, -71.0926801 42.3593229)",3-11,
"LINESTRING (-71.0926801 42.3593229, -71.0931682 42.3591961)",3-7,
"LINESTRING (-71.0931682 42.3591961, -71.0930512 42.3589183)",5-7,
"LINESTRING (-71.0928044 42.358512, -71.0926843 42.3583112)",1-5,
"LINESTRING (-71.0902688 42.3592991, -71.0902071 42.3591128)",2-6,
"LINESTRING (-71.0923598 42.3584033, -71.0921303 42.3584731)",1-3,
"LINESTRING (-71.0918238 42.3579921, -71.0911461 42.3581807)",1-kc,
"LINESTRING (-71.0918238 42.3579921, -71.0914304 42.3586683)",1-kc,
"LINESTRING (-71.0921303 42.3584731, -71.0911461 42.3581807)",3-kc,
"LINESTRING (-71.0921303 42.3584731, -71.0914304 42.3586683)",3-kc,
"LINESTRING (-71.0904377 42.3584429, -71.0911461 42.3581807)",2-kc,
"LINESTRING (-71.0904377 42.3584429, -71.0914304 42.3586683)",2-kc,
"LINESTRING (-71.0907545 42.3589555, -71.0914304 42.3586683)",4-kc,
"LINESTRING (-71.0907545 42.3589555, -71.0911461 42.3581807)",4-kc,
"LINESTRING (-71.0923342 42.3594621, -71.0919451 42.3595488)",3-10,
"LINESTRING (-71.0911461 42.3581807, -71.0914304 42.3586683, -71.0915933 42.3589833, -71.0917918 42.3593142)",kc,
