WKT,name,description
"POINT (-71.0919165 42.3579359)",1.1,
"POINT (-71.0923785 42.3578077)",1.2,
"POINT (-71.0926422 42.3582736)",1.3,
"POINT (-71.0929104 42.358662)",5.1,
"POINT (-71.0932001 42.359221)",7.1,
"POINT (-71.0926583 42.3593478)",3.1,
"POINT (-71.0919663 42.3595341)",10.1,
"POINT (-71.0912424 42.3598105)",4.1,
"POINT (-71.0907545 42.3589555)",4.2,
"POINT (-71.0902071 42.3591128)",2.1,
"POINT (-71.0898959 42.3586213)",2.2,
"POINT (-71.0904377 42.3584429)",2.3,
"POINT (-71.0907167 42.3600166)",8.1,
"POINT (-71.0904374 42.3595857)",6.1,
