WKT,name,description
"POINT (-71.0903394 42.3584433)",2.1,
"POINT (-71.0898405 42.3586297)",2.2,
"POINT (-71.0932415 42.3593154)",7.1,
"POINT (-71.0903823 42.3594106)",6.1,
"POINT (-71.0926032 42.3593273)",3.1,
"POINT (-71.0920828 42.359474)",10.1,
"POINT (-71.0917931 42.3595651)",10.2,
"POINT (-71.0907167 42.3600166)",8.1,
"POINT (-71.0902071 42.3591128)",2.3,
"POINT (-71.0907545 42.3589555)",4.1,
"POINT (-71.0912424 42.3598105)",4.2,
"POINT (-71.0928044 42.358512)",5.1,
"POINT (-71.0926843 42.3583112)",1.1,
"POINT (-71.0923725 42.3577814)",1.2,
"POINT (-71.0919165 42.3579359)",1.3,
"POINT (-71.0923081 42.3598466)",10.3,
